Code postal;Commune;temps_A_min;distance_A_km;temps_B_min;distance_B_km
35001;ACIGNE;17.8;18.8;12.5;13.7
14001;ABLON;138.6;250.9;136.3;250.5
56001;ALLAIRE;54.1;76.9;54.5;77.4
35002;AMANLIS;25.5;29.2;19.8;19.9
53003;AMBRIERES LES VALLEES;79.4;122.5;72.2;112.9
80021;AMIENS;226.0;437.9;223.4;437.4
22002;ANDEL;52.7;83.7;58.3;90.6
53005;ANDOUILLE;24.3;30.2;25.2;34.3
35003;ANDOUILLE NEUVILLE;24.3;30.2;25.2;34.3
49007;ANGERS;84.5;134.4;77.2;124.8
14015;ANISY;105.2;194.3;102.9;193.8
92002;ANTONY;177.7;342.1;170.5;332.4
35005;ARBRISSEL;36.0;48.3;28.6;38.7
35006;ARGENTRE DU PLESSIS;34.6;50.6;27.4;40.9
29001;ARGOL;141.1;224.5;148.0;231.8
56004;ARZAL;77.0;116.7;76.7;110.9
56005;ARZON;;;;
92004;ASNIERES SUR SEINE;193.8;360.2;186.6;350.5
34014;ASSAS;469.1;930.8;463.6;921.5
91027;ATHIS MONS;179.4;345.5;172.2;335.9
35007;AUBIGNE;24.7;30.3;27.0;34.8
31022;AUCAMVILLE;352.9;694.3;347.4;687.5
56006;AUGAN;;;;
59032;AULNOY LEZ VALENCIENNES;285.8;559.8;283.3;559.4
56007;AURAY;;;;
14030;AUTHIE;97.0;185.3;94.7;184.8
35008;AVAILLES SUR SEICHE;41.8;59.6;34.6;50.0
44007;AVESSAC;46.1;66.6;46.5;67.1
60033;AVILLY ST LEONARD;219.7;415.0;214.7;405.7
49015;AVRILLE;80.1;128.3;72.7;118.7
56008;BADEN;80.8;125.0;83.9;129.3
35009;BAGUER MORVAN;42.2;55.2;48.0;63.0
35010;BAGUER PICAN;45.5;72.6;50.9;80.0
35012;BAIN DE BRETAGNE;28.3;37.5;22.9;30.7
35013;BAINS SUR OUST;41.1;64.1;41.5;64.6
35014;BAIS;33.0;48.8;27.4;39.5
59044;BAISIEUX;297.9;581.2;295.6;580.8
37018;BALLAN MIRE;140.5;246.8;133.2;237.1
29004;BANNALEC;109.5;183.8;113.0;188.5
44009;BASSE GOULAINE;74.1;118.6;68.9;111.8
35016;BAULON;26.6;29.0;26.7;30.9
35019;BAZOUGES LA PEROUSE;40.5;47.3;41.4;51.4
35021;BEAUCE;193.8;343.4;186.6;333.8
49022;BEAULIEU SUR LAYON;102.3;153.3;94.9;143.6
60057;BEAUVAIS;237.6;397.0;229.3;416.9
35022;BECHEREL;27.7;34.7;33.2;41.5
35023;BEDEE;14.7;21.0;21.1;27.9
56011;BEGANNE;58.6;82.9;57.2;83.1
22004;BEGARD;86.0;145.2;92.2;152.1
56012;BEIGNON;33.7;42.8;36.8;47.1
90010;BELFORT;394.6;809.1;389.5;799.8
25056;BESANCON;361.9;723.4;354.7;713.7
35024;BETTON;16.9;16.9;17.8;21.1
14069;BEUVILLERS;138.8;254.3;136.4;253.8
14068;BIEVILLE BEUVILLE;106.9;197.3;104.6;196.8
22055;BINIC ETABLES SUR MER;68.2;111.7;75.1;118.9
44015;BLAIN;55.5;84.7;50.0;77.9
41018;BLOIS;154.8;304.0;149.6;294.7
35027;BOISGERVILLY;24.3;33.4;29.5;39.9
35028;BOISTRUDAN;35.2;42.2;27.8;32.6
35029;BONNEMAIN;37.5;48.6;42.1;56.0
94011;BONNEUIL SUR MARNE;185.6;357.8;178.4;348.2
33063;BORDEAUX;243.5;464.0;238.0;457.2
64140;BOUCAU;336.7;647.5;331.2;640.7
92012;BOULOGNE BILLANCOURT;180.4;350.2;173.2;340.6
22013;BOURBRIAC;86.4;139.3;91.5;145.8
35033;BOURG DES COMPTES;25.8;31.7;20.3;24.9
35032;BOURGBARRE;20.0;24.1;12.7;14.4
18033;BOURGES;215.0;421.0;207.8;411.4
35035;BOVEL;33.2;34.4;33.2;36.2
53041;BRAINS SUR LES MARCHES;49.0;60.6;41.6;50.9
35037;BREAL SOUS MONTFORT;15.6;17.9;20.3;22.9
35038;BREAL SOUS VITRE;37.8;57.3;32.2;48.0
35039;BRECE;20.0;25.3;12.8;15.6
79049;BRESSUIRE;124.1;209.7;118.8;202.9
29019;BREST;;;;
35040;BRETEIL;17.8;19.5;24.2;26.4
91103;BRETIGNY SUR ORGE;171.7;336.7;165.0;327.4
14101;BRETTEVILLE SUR ODON;92.0;180.2;91.0;180.1
35041;BRIE;276.4;503.5;268.7;493.8
38059;BRIE ET ANGONNES;446.3;899.3;439.1;889.7
22020;BROONS;31.4;51.7;37.9;58.6
35044;BROUALAN;42.6;51.2;46.7;58.2
22021;BRUSVILY;38.7;58.0;45.2;64.9
