Nomenclature achat;"Famille d'achat
(N-0)";"Domaines d'achat
(N-1)";"Catégories d'achat
(N-2)";"Segments  d'achat
(N-3)";Sous-segment;Produit élémentaire;"Code des Catégories Homogènes 
de fournitures et prestations"
DA50BA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION VOIE ENTERALE;NUTRITION ENTERALE SONDE STANDARD;SONDE NUTRITION COURTE DUREE STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50BA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION VOIE ENTERALE;NUTRITION ENTERALE SONDE STANDARD;SONDE NUTRITION LONGUE DUREE STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50BB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION VOIE ENTERALE;NUTRITION ENTERALE SONDE SECURISEE;SONDE NUTRITION COURTE DUREE SECURISEE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50BC01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION VOIE ENTERALE;NUTRITION ENTERALE MANDRIN;NUTRITION ENTERALE MANDRIN;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF GASTROSTOMIE;NUTRITION ENTERALE SET GPE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF GASTROSTOMIE;NUTRITION ENTERALE SONDE GASTROSTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CA03;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF GASTROSTOMIE;NUTRITION ENTERALE BOUTON GASTROSTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CA04;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF GASTROSTOMIE;NUTRITION ENTERALE SET GASTROSTOMIE DILATATION;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CA98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF GASTROSTOMIE;NUTRITION ENTERALE DISPOSITIF GASTROSTOMIE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE;NUTRITION ENTERALE SET JEJUNOSTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
