text,FE.ADEME.ID,FE.VAL,FE.Incertitude
service metaux aluminium cuivre acier etc,25020,1700.0,0.8
service activites creatives artistiques culturelles bibliotheques et organisation de jeux de hasard,25030,210.0,0.8
service action sociale,25029,100.0,0.8
service assurance services bancaires conseil et honoraires,24997,110.0,0.8
service bois et article en bois,25015,500.0,0.8
service construction,25009,360.0,0.8
service courrier,24998,130.0,0.8
service enseignement,25026,120.0,0.8
service entreposage et services auxiliaires des transports,25008,170.0,0.8
service films enregistrement sonores television et radio,25003,310.0,0.8
service edition livres journaux revues etc,25002,280.0,0.8
service papier et carton,25014,900.0,0.8
service plastiques et caoutchouc,25013,800.0,0.8
service produits agricoles et de la mer,25010,2300.0,0.8
service produits chimiques,25018,1600.0,0.8
service produits informatiques electroniques et optiques,25023,400.0,0.8
service produits pharmaceutiques,25019,500.0,0.8
service activites des organisations associatives,25032,220.0,0.8
service activites pour la sante humaine,25028,120.0,0.8
service activites sportives recreatives et de loisirs,25031,270.0,0.8
service administration publiques et defense securite sociale obligatoire,25025,160.0,0.8
service hebergement et restauration,25000,320.0,0.8
service machines et equipements,25022,700.0,0.8
service materiel de transport,25024,700.0,0.8
service meubles et autres biens manufactures,25017,600.0,0.8
service produit agro alimentaires transformes,25011,1000.0,0.8
service produits metalliques sauf machines et equipements,25021,600.0,0.8
service recherche et developpement,25027,250.0,0.8
service reparation et installation de machines et d equipements,25004,390.0,0.8
service telecommunications,24999,170.0,0.8
service transport aerien,25007,1190.0,0.8
service textile et habillement,25016,600.0,0.8
service transport fluvial et maritime,25006,590.0,0.8
service transport terrestre,25005,560.0,0.8
service services imprimerie publicite architecture et ingenierie maintenance multi technique des batimen,25001,170.0,0.8
salade cesar au poulet salade verte fromage croutos sauce,34052,2.81,1.0
brioche fourree creme patissiere type chinois preemballee,33558,3.83,1.0
gouter sec fourre sandwiche parfum chocolat,32682,7.55,1.0
gouter sec fourre sandwiche parfum fruits,32683,3.4,1.0
gouter sec fourre sandwiche parfum lait ou vanille,32681,7.55,1.0
haricot mungo germe ou pousse de soja appertise egoutte,33358,1.9,1.0
haricot mungo germe ou pousse de soja cru,33308,0.756,1.0
s s octafluorocyclopentane,43018,258.0,0.3
e chloro fluoroethene,43019,0.004,0.3
e hex en ol,43020,0.002,0.3
z hex en ol,43021,0.003,0.3
achat sur le web,20620,0.00755,1.0
mail,20615,0.004,1.0
mail avec piece jointe,20616,0.035,1.0
requete de navigation web,20618,0.00101,1.0
requete internet,20619,0.00665,1.0
spam,20617,3e-05,1.0
transaction logiciel classique,20625,0.00135,1.0
tweet,20621,2e-05,1.0
heptafluoro tetrafluoroethoxy propane,43022,6630.0,0.3
nonafluoro trifluoromethyl pentan one,43023,0.11,0.3
hexafluoropropan ol,43024,206.0,0.3
trifluorobutan one,43025,0.1,0.3
trifluoropropan one,43026,0.09,0.3
a a octadecafluoronaphthalene,43029,7800.0,0.3
a a octadecafluoronaphthalene e,43604,7120.0,0.3
a a octadecafluoronaphthalene z,43603,7800.0,0.3
heptafluorocyclopentane,43028,231.0,0.3
hexafluorocyclopentane,43027,120.0,0.3
tetrachloroethene,43031,6.34,0.3
tetrafluoro methoxypropane,43032,1.68,0.3
hexafluorobuta diene,43033,0.004,0.3
trichloroethene,43034,0.04,0.3
trifluoro trifluoromethoxy ethane,43035,1260.0,0.3
dibromoethane,43036,1.02,0.3
dichloroethane,43037,1.3,0.3
heptafluorocyclopentene,43038,45.1,0.3
pentafluorocyclobutene,43039,92.4,0.3
bromopropane,43040,0.05,0.3
chloro ethenoxyethane,43041,0.0,0.3
chlorobutane,43042,0.01,0.3
ethoxy hexafluoropropane,43043,26.4,0.3
trifluoroethanol,43044,35.7,0.3
trifluoroethyl formate,43045,54.8,0.3
pentafluoropropan ol,43046,34.3,0.3
heptafluorobutan ol,43047,36.5,0.3
octafluorocyclopentan ol,43048,13.6,0.3
tetrafluoropropan ol,43049,14.4,0.3
hexafluorobutan ol,43050,30.5,0.3
difluoroethanol,43051,6.18,0.3
chloro trifluoro methoxyethane,43053,136.0,0.3
chloropropane,43054,0.18,0.3
ethoxy pentafluorotetrahydro bis tetrafluoro trifluoromethyl ethyl fu,43055,48.7,0.3
fluoroethanol,43056,0.53,0.3
methylpentan one,43057,0.2,0.3
trifluoro trifluoromethyl prop l ene,43058,0.38,0.3
trifluoropropan ol,43059,0.62,0.3
trifluoropropanal,43060,0.03,0.3
nonafluorohex ene,43061,0.2,0.3
undecafluoroheptan ol,43062,0.53,0.3
tridecafluorooct ene,43063,0.16,0.3
heptadecafluorodec ene,43064,0.14,0.3
