FE.RM.ID;FE.BDD;FE.VAL;FE.UNITE;FE.Incertitude;FE.LIB1;FE.LIB2;FE.CAT1;FE.DATE-VALID
43515;Base Carbone V23.7;136;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Agences de voyage, voyagistes, réservations – 2023;Achats de services;2026
43460;Base Carbone V23.7;104;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Arts, spectacles, musées, bibliothèques / Jeux de hasard – 2023;Achats de services;2026
43475;Base Carbone V23.7;77;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Assurance, réassurance, retraites (hors sécurité sociale) – 2023;Achats de services;2026
43300;Base Carbone V23.7;239;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Autres matériels de transport - 2023;Achats de biens;2026
43365;Base Carbone V23.7;231;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Autres produits manufacturés - 2023;Achats de biens;2026
43305;Base Carbone V23.7;844;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Autres produits minéraux non métalliques - 2023;Achats de biens;2026
43310;Base Carbone V23.7;157;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Autres services personnels - 2023;Achats de services;2026
43315;Base Carbone V23.7;110;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Autres services spécialisés, scientifiques et techniques - 2023;Achats de services;2026
43325;Base Carbone V23.7;205;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Bois, liège (hors meubles) / Vannerie, sparterie - 2023;Achats de biens;2026
43375;Base Carbone V23.7;156;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Cinéma, TV, musique, enregistrement / Programmation, diffusion – 2023;Achats de biens;2026
43330;Base Carbone V23.7;110;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Commerce de détail, à l'exclusion des automobiles et des motocycles - 2023;Achats de services;2026
43335;Base Carbone V23.7;146;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Commerce de gros, à l'exclusion des automobiles et des motocycles - 2023;Achats de services;2026
43340;Base Carbone V23.7;245;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Constructions et travaux de construction - 2023;Achats de services;2026
