"city","latitude","longitude","REG","Libellé","Code","Taux_de_chomage","Taux_bacdeux","Taux_cadres_profs","Taux_activite","Densité","Taux_hlm","Taux_pauvreté","Salaire_mensuel","Densite_cat","LIBELLE","Nom_region","Groupe_region","log_salaire_pred","salaire_pred","residu","erreur_pct","erreur_euro"
"Abbeville",50.1083582944,1.83209170207,32,"Abbeville",3201,7.3,9.7,9.2,74.2,"61,6",12,16.5,2145,"Faible","Hauts-de-France","Hauts-de-France","Autres régions",7.71678137590153,2245.71980787333,-0.0458865445395159,-4.48496769366392,-100.71980787333
"Agen",44.2028139104,0.625583928763,75,"Agen",7501,6.6,12.3,13,76.8,"81,6",9.1,15.9,2323,"Faible","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.7516421335624,2325.38787848387,-0.0010274007919938,-0.10268731964963,-2.38787848387256
"Aix-en-Provence",43.5360708378,5.39857444582,93,"Aix-en-Provence",9301,5.9,12.8,26.5,75.2,"216,3",10,11,2708,"Forte","Provence-Alpes-Côte d'Azur","Provence-Alpes-Côte d'Azur","Autres régions",7.95852251589812,2859.8444547908,-0.0545568818659545,-5.30953543772035,-151.844454790797
"Ajaccio",41.9347926638,8.70132275974,94,"Ajaccio",9401,5.3,11.2,12.5,76.7,"55,4",8.5,14.2,2414,"Faible","Corse","Corse","Corse",7.78277821387573,2398.93031254762,0.00626218778174749,0.628183627242462,15.0696874523805
"Albi",43.9258213622,2.14686328555,76,"Albi",7602,7.7,12.1,13.8,74.5,"74,5",7.2,15.4,2266,"Faible","Occitanie","Occitanie","Occitanie",7.7442019000707,2308.15065371448,-0.0184304584827474,-1.8261656208033,-42.1506537144805
"Alençon",48.4318193082,0.0915406916107,28,"Alençon",51,6.8,9.7,10.8,74.2,"52,7",14.7,15.2,2193,"Faible","Normandie","Normandie","Autres régions",7.74067967171584,2300.03512080491,-0.0476539232979506,-4.65362984402828,-107.035120804909
"Amiens",49.9009532186,2.29007445539,32,"Amiens",3202,8.7,10.9,15.6,72.3,"107,6",16.2,16.3,2418,"Intermédiaire","Hauts-de-France","Hauts-de-France","Autres régions",7.78834831285962,2412.32987564581,0.00234771831511772,0.235047636371477,5.67012435418837
"Ancenis",47.3833270209,-1.18241880879,NA,"Ancenis",5201,4.2,11.8,11.6,79.5,"85,6",8.3,8.6,2428,"Faible","Pays de la Loire","Pays de la Loire","Autres régions",7.75082840941095,2323.49642387117,0.0439947427684412,4.49768611886725,104.50357612883
"Angers",47.476837416,-0.556125995444,52,"Angers",5202,7,12.7,18.3,75.1,"205,9",20,12.2,2398,"Forte","Pays de la Loire","Pays de la Loire","Autres régions",7.81279182582369,2472.02226601267,-0.0304014902362372,-2.99440126532776,-74.0222660126674
"Angoulême",45.6472585146,0.14514490683,75,"Angoulême",7502,7.7,10.8,13.2,75.9,"67,5",9.8,15.4,2351,"Faible","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.75367177251927,2330.11236919523,0.00892427602079463,0.89642160957164,20.8876308047679
