FE.ADEME.ID;FE.BDD;FE.VAL;FE.UNITE;FE.Incertitude;FE.LIB1;FE.LIB2;FE.LIB3;FE.LIB4;FE.LIB5;FE.CAT1;FE.CAT2;FE.CAT3;FE.CAT4;FE.CAT5;FE.DATE-CREA;FE.DATE-MODIF;FE.DATE-VALID;FE.TYPE
25020;Base Carbone V23.7;1700;kgCO2e/keuro;0,8;Acier,Cuivre,biens et services,etc.),ratio monétaire,métaux (aluminium;Service;Métaux (aluminium, cuivre, acier, etc.);;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25030;Base Carbone V23.7;210;kgCO2e/keuro;0,8;bibliothèques,musées,activités culturelles,biens et services,artistiques,spectacle,archives,organisation de jeux de hasard et d'argent,ratio monétaire,activités créatives;Service;Activités créatives, artistiques, culturelles, bibliothèques, et organisation de jeux de hasard;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25029;Base Carbone V23.7;100;kgCO2e/keuro;0,8;biens et services,action sociale,ratio monétaire;Service;Action sociale;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
24997;Base Carbone V23.7;110;kgCO2e/keuro;0,8;biens et services,assurance,services bancaires,conseil et honoraires,ratio monétaire;Service;Assurance, services bancaires, conseil et honoraires;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25015;Base Carbone V23.7;500;kgCO2e/keuro;0,8;biens et services,bois et article en bois,ratio monétaire;Service;Bois et article en bois;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25009;Base Carbone V23.7;360;kgCO2e/keuro;0,8;biens et services,construction,ratio monétaire;Service;Construction;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
24998;Base Carbone V23.7;130;kgCO2e/keuro;0,8;biens et services,courrier,ratio monétaire;Service;Courrier;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25026;Base Carbone V23.7;120;kgCO2e/keuro;0,8;biens et services,enseignement,ratio monétaire;Service;Enseignement;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25008;Base Carbone V23.7;170;kgCO2e/keuro;0,8;biens et services,entreposage et services auxiliaires des transports,ratio monétaire;Service;Entreposage et services auxiliaires des transports;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25003;Base Carbone V23.7;310;kgCO2e/keuro;0,8;biens et services,films,enregistrement sonores,ratio monétaire,télévision et radio;Service;Films, enregistrement sonores, télévision et radio;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25002;Base Carbone V23.7;280;kgCO2e/keuro;0,8;biens et services,journaux,revues,etc.),ratio monétaire,édition (livres;Service;Édition (livres, journaux, revues, etc.);;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25014;Base Carbone V23.7;900;kgCO2e/keuro;0,8;biens et services,papier et carton,ratio monétaire;Service;Papier et carton;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25013;Base Carbone V23.7;800;kgCO2e/keuro;0,8;biens et services,plastiques et caoutchouc,ratio monétaire;Service;Plastiques et caoutchouc;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25010;Base Carbone V23.7;2300;kgCO2e/keuro;0,8;biens et services,produits agricoles et de la mer,ratio monétaire;Service;Produits agricoles et de la mer;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25018;Base Carbone V23.7;1600;kgCO2e/keuro;0,8;biens et services,produits chimiques,ratio monétaire;Service;Produits chimiques;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25023;Base Carbone V23.7;400;kgCO2e/keuro;0,8;biens et services,produits informatiques,ratio monétaire,électroniques et optiques;Service;Produits informatiques, électroniques et optiques;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25019;Base Carbone V23.7;500;kgCO2e/keuro;0,8;biens et services,produits pharmaceutiques,ratio monétaire;Service;Produits pharmaceutiques;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25032;Base Carbone V23.7;220;kgCO2e/keuro;0,8;biens et services,ratio monétaire,activités des organisations associatives;Service;Activités des organisations associatives;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25028;Base Carbone V23.7;120;kgCO2e/keuro;0,8;biens et services,ratio monétaire,activités pour la santé humaine;Service;Activités pour la santé humaine;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25031;Base Carbone V23.7;270;kgCO2e/keuro;0,8;biens et services,ratio monétaire,activités sportives,récréatives et de loisirs;Service;Activités sportives, récréatives et de loisirs;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25025;Base Carbone V23.7;160;kgCO2e/keuro;0,8;biens et services,ratio monétaire,administration publiques et défense,sécurité sociale obligatoire;Service;Administration publiques et défense, sécurité sociale obligatoire;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25000;Base Carbone V23.7;320;kgCO2e/keuro;0,8;biens et services,ratio monétaire,hébergement et restauration;Service;Hébergement et restauration;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25022;Base Carbone V23.7;700;kgCO2e/keuro;0,8;biens et services,ratio monétaire,machines et équipements;Service;Machines et équipements;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25024;Base Carbone V23.7;700;kgCO2e/keuro;0,8;biens et services,ratio monétaire,matériel de transport;Service;Matériel de transport;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25017;Base Carbone V23.7;600;kgCO2e/keuro;0,8;biens et services,ratio monétaire,meubles et autres biens manufacturés;Service;Meubles et autres biens manufacturés;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25011;Base Carbone V23.7;1000;kgCO2e/keuro;0,8;biens et services,ratio monétaire,produit agro-alimentaires transformés;Service;Produit agro-alimentaires transformés;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25021;Base Carbone V23.7;600;kgCO2e/keuro;0,8;biens et services,ratio monétaire,produits métalliques,sauf machines et équipements;Service;Produits métalliques, sauf machines et équipements;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25027;Base Carbone V23.7;250;kgCO2e/keuro;0,8;biens et services,ratio monétaire,recherche et développement;Service;Recherche et développement;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25004;Base Carbone V23.7;390;kgCO2e/keuro;0,8;biens et services,ratio monétaire,réparation et installation de machines et d'équipements;Service;Réparation et installation de machines et d'équipements;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
24999;Base Carbone V23.7;170;kgCO2e/keuro;0,8;biens et services,ratio monétaire,télécommunications;Service;Télécommunications;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25007;Base Carbone V23.7;1190;kgCO2e/keuro;0,8;biens et services,ratio monétaire,transport aérien;Service;Transport aérien;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25016;Base Carbone V23.7;600;kgCO2e/keuro;0,8;biens et services,textile et habillement,ratio monétaire;Service;Textile et habillement;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25006;Base Carbone V23.7;590;kgCO2e/keuro;0,8;biens et services,transport fluvial et maritime,ratio monétaire;Service;Transport fluvial et maritime;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25005;Base Carbone V23.7;560;kgCO2e/keuro;0,8;biens et services,transport terrestre,ratio monétaire;Service;Transport terrestre;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
25001;Base Carbone V23.7;170;kgCO2e/keuro;0,8;publicité,architecture et ingénierie,maintenance multi-technique des bâtiments,sécurité,biens et services,services (imprimerie,gardiennage,nettoyage,agence de voyage,autres services aux entreprises),ratio monétaire;Service;Services (imprimerie, publicité, architecture et ingénierie, maintenance multi-technique des bâtimen;;France continentale;Achats de services;Ratios monétaires;;;;18/05/2016;20/03/2025;17/05/2018;ECO
34052;Base Carbone V23.7;2,81;kgCO2e/kg de poids net;1;"""Agribalyse,""""	Salade César au poulet (salade verte,entrées et plats composés""""""";"""""""	Salade César au poulet (salade verte""""""";fromage, croûtos, sauce);;France continentale;Achats de biens;Produits agro-alimentaires, plats préparés et boissons;Entrées et plats composés;Salades composées et crudités;;04/03/2021;17/05/2024;31/12/2023;QTE
33558;Base Carbone V23.7;3,83;kgCO2e/kg de poids net;1;"produits céréaliers,""Agribalyse,""""Brioche fourrée crème pâtissière (type """"""""chinois""""""""),viennoiseries""""""";"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""";préemballée;;France continentale;Achats de biens;Produits agro-alimentaires, plats préparés et boissons;Produits céréaliers;Pains et viennoiseries;;04/03/2021;17/05/2024;31/12/2023;QTE
